epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.3278628676025956,1.042728152539995,0.4583333333333333,0.4444444444444444,1.0151241289244757,0.3541666666666667,0.3541666666666667,0.24439478047725471,0.3333333333333333,0.3333333333333333,0.2222222222222222
2,frozen_backbone,0.9814439415931702,0.8603467389389321,0.6458333333333334,0.7037037037037037,0.8410616053475274,0.7013888888888888,0.701388888888889,0.7010986267166043,0.7777777777777778,0.7777777777777777,0.7746031746031746
3,frozen_backbone,0.8866393698586358,0.7775498650692128,0.6759259259259259,0.7407407407407407,0.618080563015408,0.9305555555555556,0.9305555555555555,0.9300295332111898,0.8888888888888888,0.8888888888888888,0.8857142857142857
4,frozen_backbone,0.8060126525384409,0.764157873612863,0.6782407407407407,0.6666666666666666,0.5325683487786187,0.9513888888888888,0.9513888888888888,0.9511290498527326,1.0,1.0,1.0
5,frozen_backbone,0.766053851004,0.753209685837781,0.6898148148148148,0.7407407407407407,0.4740537603696187,0.9375,0.9375,0.9369458128078817,0.8888888888888888,0.8888888888888888,0.8857142857142857
6,frozen_backbone,0.802327588752464,0.7396008769671122,0.6759259259259259,0.6666666666666666,0.4502715898884667,0.9513888888888888,0.9513888888888888,0.9511290498527326,1.0,1.0,1.0
7,frozen_backbone,0.7878483456593973,0.7405163888578061,0.6828703703703703,0.7037037037037037,0.4645996689796448,0.9444444444444444,0.9444444444444445,0.9440559440559441,0.8888888888888888,0.8888888888888888,0.8857142857142857
8,frozen_backbone,0.7687532945915505,0.7070333648610998,0.6828703703703703,0.7037037037037037,0.4802534447775947,0.9513888888888888,0.9513888888888888,0.9511290498527326,1.0,1.0,1.0
9,frozen_backbone,0.7431110364419443,0.6983301661632679,0.6851851851851852,0.7037037037037037,0.4718021982245975,0.9444444444444444,0.9444444444444445,0.9440559440559441,0.8888888888888888,0.8888888888888888,0.8857142857142857
10,frozen_backbone,0.7305883125022605,0.683345580542529,0.6921296296296297,0.7037037037037037,0.4973289900355869,0.9236111111111112,0.9236111111111112,0.9232923292329233,0.8888888888888888,0.8888888888888888,0.8857142857142857
11,frozen_backbone,0.7018215126461453,0.6814034470805416,0.6851851851851852,0.7037037037037037,0.4823715289433797,0.9236111111111112,0.9236111111111112,0.9232923292329233,0.8888888888888888,0.8888888888888888,0.8857142857142857
12,frozen_backbone,0.7239717178874545,0.7256154815355936,0.6944444444444444,0.7037037037037037,0.5060095290342966,0.9097222222222222,0.9097222222222222,0.9080358129766773,0.8888888888888888,0.8888888888888888,0.8857142857142857
13,frozen_backbone,0.7540864171805205,0.6690231318827029,0.7060185185185185,0.7037037037037037,0.5010886589686075,0.9305555555555556,0.9305555555555555,0.9300295332111898,0.8888888888888888,0.8888888888888888,0.8857142857142857
14,frozen_backbone,0.7071997666800464,0.6675090458658006,0.6990740740740741,0.7037037037037037,0.4914075831572215,0.9236111111111112,0.9236111111111112,0.9225948323254536,0.8888888888888888,0.8888888888888888,0.8857142857142857
15,frozen_backbone,0.6840758467162097,0.6648823111145584,0.6990740740740741,0.7037037037037037,0.46818286842770046,0.9375,0.9375,0.9369458128078817,0.8888888888888888,0.8888888888888888,0.8857142857142857
16,frozen_backbone,0.7313484880659316,0.6608926366876673,0.7152777777777778,0.7777777777777778,0.5111544099118974,0.8333333333333334,0.8333333333333334,0.8318595459141465,0.8888888888888888,0.8888888888888888,0.8857142857142857
