epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.1911218563715618,0.7214723582620974,0.9444444444444444,1.0,0.7310915721787347,0.9444444444444444,0.9444444444444443,0.9446329739647302,1.0,1.0,1.0
2,frozen_backbone,0.6259682255762594,0.4561160824916981,0.9467592592592593,0.9629629629629629,0.4588341514269511,0.9375,0.9375,0.9369458128078817,0.8888888888888888,0.8888888888888888,0.8857142857142857
3,frozen_backbone,0.38861746810100695,0.29754745187582793,0.9814814814814815,1.0,0.2934100362989638,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
4,frozen_backbone,0.2897725557839429,0.24536564118332332,0.9861111111111112,1.0,0.2412149707476298,1.0,1.0,1.0,1.0,1.0,1.0
5,frozen_backbone,0.2376097876716543,0.22580600999019765,0.9861111111111112,1.0,0.22066573964224923,1.0,1.0,1.0,1.0,1.0,1.0
6,frozen_backbone,0.22860631567460518,0.21462853363266698,0.9861111111111112,1.0,0.209695127275255,1.0,1.0,1.0,1.0,1.0,1.0
7,frozen_backbone,0.22113822455759402,0.20780335311536435,0.9953703703703703,1.0,0.20409279896153343,1.0,1.0,1.0,1.0,1.0,1.0
8,frozen_backbone,0.21345434255070156,0.20269196673675818,0.9953703703703703,1.0,0.19912437432342106,1.0,1.0,1.0,1.0,1.0,1.0
9,frozen_backbone,0.21007759979477636,0.20040462966318484,0.9953703703703703,1.0,0.19615255130661857,1.0,1.0,1.0,1.0,1.0,1.0
10,frozen_backbone,0.20575061992362695,0.19708508749802908,0.9953703703703703,1.0,0.19383950697051155,1.0,1.0,1.0,1.0,1.0,1.0
11,frozen_backbone,0.20084661466104012,0.19456936363820676,0.9976851851851852,1.0,0.19101154969798195,1.0,1.0,1.0,1.0,1.0,1.0
12,frozen_backbone,0.1979134469120591,0.19298940124335112,1.0,1.0,0.18947723342312706,1.0,1.0,1.0,1.0,1.0,1.0
13,frozen_backbone,0.19944500040124963,0.19140941346133197,1.0,1.0,0.18807310693793827,1.0,1.0,1.0,1.0,1.0,1.0
14,frozen_backbone,0.19545885147871794,0.190236438203741,1.0,1.0,0.1870771414703793,1.0,1.0,1.0,1.0,1.0,1.0
15,frozen_backbone,0.19416453330605118,0.18940465759347985,1.0,1.0,0.1864988770749834,1.0,1.0,1.0,1.0,1.0,1.0
16,frozen_backbone,0.1929362603911647,0.18864648264867287,1.0,1.0,0.18570075266891056,1.0,1.0,1.0,1.0,1.0,1.0
17,frozen_backbone,0.19223651786645254,0.18764332930246988,1.0,1.0,0.1850486695766449,1.0,1.0,1.0,1.0,1.0,1.0
18,frozen_backbone,0.19235422434630217,0.18718915901802205,1.0,1.0,0.18450364304913414,1.0,1.0,1.0,1.0,1.0,1.0
19,frozen_backbone,0.19177373691841407,0.18659727109803093,1.0,1.0,0.18437704940636954,1.0,1.0,1.0,1.0,1.0,1.0
20,frozen_backbone,0.18965413559366157,0.18609298048196016,1.0,1.0,0.18374230795436436,1.0,1.0,1.0,1.0,1.0,1.0
21,frozen_backbone,0.18868961488759076,0.18531971121275867,1.0,1.0,0.18310248851776123,1.0,1.0,1.0,1.0,1.0,1.0
22,frozen_backbone,0.1889947161630348,0.1848637373359115,1.0,1.0,0.1829016473558214,1.0,1.0,1.0,1.0,1.0,1.0
23,frozen_backbone,0.18933197304054541,0.18455321976432093,1.0,1.0,0.18259271648195055,1.0,1.0,1.0,1.0,1.0,1.0
24,frozen_backbone,0.18905169875533492,0.1841116205409721,1.0,1.0,0.1821861465771993,1.0,1.0,1.0,1.0,1.0,1.0
25,frozen_backbone,0.18935616259221677,0.18376684133653287,1.0,1.0,0.18204292323854235,1.0,1.0,1.0,1.0,1.0,1.0
26,frozen_backbone,0.18684833469214263,0.18345803519090018,1.0,1.0,0.18169875939687094,1.0,1.0,1.0,1.0,1.0,1.0
27,frozen_backbone,0.18909428517023721,0.1830010507945661,1.0,1.0,0.18148730198542276,1.0,1.0,1.0,1.0,1.0,1.0
28,frozen_backbone,0.18585583567619324,0.18296400430025878,1.0,1.0,0.18148395087983873,1.0,1.0,1.0,1.0,1.0,1.0
29,frozen_backbone,0.18541903683432825,0.18237055286213202,1.0,1.0,0.18098626203007168,1.0,1.0,1.0,1.0,1.0,1.0
30,frozen_backbone,0.18692429970811913,0.18231042998808403,1.0,1.0,0.18129440976513755,1.0,1.0,1.0,1.0,1.0,1.0
31,frozen_backbone,0.1878698413018827,0.18205561847598464,1.0,1.0,0.1806953036122852,1.0,1.0,1.0,1.0,1.0,1.0
32,frozen_backbone,0.18417338695791033,0.18156278685287194,1.0,1.0,0.18050607376628452,1.0,1.0,1.0,1.0,1.0,1.0
33,frozen_backbone,0.18448761491863816,0.18133050644839252,1.0,1.0,0.1803990883959664,1.0,1.0,1.0,1.0,1.0,1.0
34,frozen_backbone,0.18676341904534233,0.181131468878852,1.0,1.0,0.18016850451628366,1.0,1.0,1.0,1.0,1.0,1.0
35,frozen_backbone,0.18418691279711547,0.18083681276551,1.0,1.0,0.180076625612047,1.0,1.0,1.0,1.0,1.0,1.0
36,frozen_backbone,0.18463397909093787,0.1806242752958227,1.0,1.0,0.17989339431126913,1.0,1.0,1.0,1.0,1.0,1.0
37,frozen_backbone,0.18562015063232845,0.18052486468244483,1.0,1.0,0.17975729703903198,1.0,1.0,1.0,1.0,1.0,1.0
38,frozen_backbone,0.18504937048311587,0.18025546548543153,1.0,1.0,0.17956636514928606,1.0,1.0,1.0,1.0,1.0,1.0
