epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.2184506875497323,0.9464227005287453,0.6018518518518519,0.6296296296296297,1.2732599708769057,0.1527777777777778,0.1527777777777778,0.14196165191740415,0.1111111111111111,0.1111111111111111,0.09523809523809523
2,frozen_backbone,1.0151653863765575,0.856756188251354,0.5995370370370371,0.6296296296296297,1.2594176398383246,0.2222222222222222,0.2222222222222222,0.18554567321138893,0.2222222222222222,0.2222222222222222,0.16666666666666666
3,frozen_backbone,0.9271595478057861,0.8149116668436263,0.6550925925925926,0.6666666666666666,1.2795793877707586,0.25,0.25,0.21772972972972973,0.2222222222222222,0.2222222222222222,0.16666666666666666
4,frozen_backbone,0.8708198953557897,0.7635984729837488,0.6620370370370371,0.7037037037037037,1.3542445765601263,0.1388888888888889,0.13888888888888887,0.13236561277921388,0.1111111111111111,0.1111111111111111,0.09523809523809523
5,frozen_backbone,0.7691450803368179,0.7707757033683635,0.6597222222222222,0.6666666666666666,1.4393311474058363,0.20833333333333334,0.20833333333333334,0.17411924119241193,0.2222222222222222,0.2222222222222222,0.16666666666666666
6,frozen_backbone,0.8323412460309488,0.7444363987004315,0.6689814814814815,0.6666666666666666,1.4540536403656006,0.20833333333333334,0.20833333333333334,0.17411924119241193,0.2222222222222222,0.2222222222222222,0.16666666666666666
7,frozen_backbone,0.7855636411243014,0.7308067248927222,0.6643518518518519,0.6666666666666666,1.541943973965115,0.1736111111111111,0.17361111111111113,0.1466293183940243,0.1111111111111111,0.1111111111111111,0.09523809523809523
8,frozen_backbone,0.7503726945983039,0.7147172137543008,0.6666666666666666,0.7037037037037037,1.4973865350087483,0.22916666666666666,0.22916666666666666,0.20917282575680876,0.1111111111111111,0.1111111111111111,0.09523809523809523
9,frozen_backbone,0.7653166519271003,0.7031354330204151,0.6666666666666666,0.6666666666666666,1.5020854208204482,0.20833333333333334,0.20833333333333334,0.17811253876827648,0.2222222222222222,0.2222222222222222,0.16666666666666666
10,frozen_backbone,0.7822039127349854,0.6955503159099155,0.6805555555555556,0.7037037037037037,1.5394747522142198,0.1111111111111111,0.11111111111111112,0.10653193316161418,0.0,0.0,0.0
11,frozen_backbone,0.7221996585528055,0.680546639142213,0.6851851851851852,0.6296296296296297,1.4980873399310641,0.1388888888888889,0.13888888888888887,0.12698412698412698,0.1111111111111111,0.1111111111111111,0.09523809523809523
12,frozen_backbone,0.7532441991346853,0.6860367302541379,0.6875,0.6666666666666666,1.580575492646959,0.16666666666666666,0.16666666666666666,0.1482758620689655,0.1111111111111111,0.1111111111111111,0.09523809523809523
