epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.3485002738458138,1.0444213019476996,0.5277777777777778,0.5555555555555556,1.0217225948969524,0.4930555555555556,0.4930555555555556,0.3912167326801473,0.5555555555555556,0.5555555555555555,0.4523809523809524
2,frozen_backbone,0.9735060886100486,0.8778895934422811,0.5625,0.5185185185185185,0.8431502050823636,0.5138888888888888,0.5138888888888888,0.4810071265295146,0.5555555555555556,0.5555555555555555,0.48888888888888893
3,frozen_backbone,0.9204319583045112,0.7832022419682255,0.6921296296296297,0.7407407407407407,0.6194421317842271,0.9097222222222222,0.9097222222222222,0.9094101028211293,1.0,1.0,1.0
4,frozen_backbone,0.8369393172087493,0.7683820680335716,0.6736111111111112,0.7037037037037037,0.552467491891649,0.8611111111111112,0.8611111111111112,0.8588768730122488,0.8888888888888888,0.8888888888888888,0.8857142857142858
5,frozen_backbone,0.7769000706849275,0.7556946630831118,0.6944444444444444,0.7407407407407407,0.4668554597430759,0.9375,0.9375,0.9371423372606106,0.8888888888888888,0.8888888888888888,0.8857142857142857
6,frozen_backbone,0.7792767131770099,0.7264425997380857,0.6944444444444444,0.6666666666666666,0.4290877315733168,0.9513888888888888,0.9513888888888888,0.9513525749858518,1.0,1.0,1.0
7,frozen_backbone,0.7973605526818169,0.7332520760871746,0.6967592592592593,0.7407407407407407,0.44649406605296665,0.9097222222222222,0.9097222222222222,0.9095013888794252,1.0,1.0,1.0
8,frozen_backbone,0.773447330351229,0.6947121587064531,0.7083333333333334,0.7407407407407407,0.4480938712755839,0.9097222222222222,0.9097222222222222,0.9095100210072106,1.0,1.0,1.0
9,frozen_backbone,0.7549695593339426,0.6935454761540448,0.7106481481481481,0.7407407407407407,0.4259401361147563,0.9305555555555556,0.9305555555555555,0.9303617060871381,1.0,1.0,1.0
10,frozen_backbone,0.7442764970991347,0.6775202541439621,0.7152777777777778,0.7407407407407407,0.4498802224795024,0.9027777777777778,0.9027777777777777,0.9025945206204469,1.0,1.0,1.0
11,frozen_backbone,0.7110101845529344,0.6765097710821364,0.7129629629629629,0.7407407407407407,0.44296694464153713,0.9097222222222222,0.9097222222222222,0.9095013888794252,1.0,1.0,1.0
12,frozen_backbone,0.732807821697659,0.7210808617097361,0.7013888888888888,0.7037037037037037,0.4701228208012051,0.875,0.875,0.8733155620921039,0.8888888888888888,0.8888888888888888,0.8857142857142857
13,frozen_backbone,0.7358286601525766,0.6692574642322682,0.7222222222222222,0.7407407407407407,0.46466124388906693,0.9027777777777778,0.9027777777777777,0.9025179387416215,1.0,1.0,1.0
14,frozen_backbone,0.7266376824290665,0.6651366021898057,0.7083333333333334,0.7037037037037037,0.44929026232825386,0.8958333333333334,0.8958333333333334,0.895059558323327,0.8888888888888888,0.8888888888888888,0.8857142857142857
15,frozen_backbone,0.6893533446170665,0.6620610058307648,0.7152777777777778,0.7037037037037037,0.43531642357508343,0.8888888888888888,0.8888888888888888,0.8887915461200984,1.0,1.0,1.0
16,frozen_backbone,0.712716159997163,0.6528726352585686,0.7337962962962963,0.7407407407407407,0.4605543414751689,0.8611111111111112,0.861111111111111,0.8608012093726379,0.8888888888888888,0.8888888888888888,0.8857142857142857
17,frozen_backbone,0.6768303712209066,0.6830254682788143,0.6967592592592593,0.7037037037037037,0.5008239282502068,0.8541666666666666,0.8541666666666666,0.8527068437180797,0.8888888888888888,0.8888888888888888,0.8857142857142857
18,frozen_backbone,0.6894774746011805,0.6476656816623829,0.7222222222222222,0.7037037037037037,0.4816174308458964,0.8680555555555556,0.8680555555555555,0.8676395289298515,0.8888888888888888,0.8888888888888888,0.8857142857142857
19,frozen_backbone,0.7226519275594641,0.6597544109379804,0.7129629629629629,0.7037037037037037,0.45977107021543717,0.8680555555555556,0.8680555555555555,0.866861377406682,0.8888888888888888,0.8888888888888888,0.8857142857142857
