experiment,target_wavelengths,head_learning_rate,weight_decay,dropout,label_smoothing,best_epoch,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,checkpoint_path,configuration_source,external_data_used_for_selection
PCA 1-band CNN,[491.9],0.001,0.0001,0.2,0.05,98,1.0,1.0,1.0,1.0,1.0,1.0,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_external_corn/models/pca_1_band_cnn.pth,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_image_level/tuning/selected_resnet18_tile_configurations.csv,False
VIP 1-band CNN,[497.2],0.001,0.0001,0.2,0.05,98,1.0,1.0,1.0,1.0,1.0,1.0,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_external_corn/models/vip_1_band_cnn.pth,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_image_level/tuning/selected_resnet18_tile_configurations.csv,False
PCA 3-band CNN,"[491.9, 611.9, 641.6]",0.001,0.01,0.2,0.05,80,1.0,1.0,1.0,1.0,1.0,1.0,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_external_corn/models/pca_3_band_cnn.pth,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_image_level/tuning/selected_resnet18_tile_configurations.csv,False
VIP 3-band CNN,"[497.2, 609.2, 641.6]",0.001,0.01,0.2,0.05,83,1.0,1.0,1.0,1.0,1.0,1.0,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_external_corn/models/vip_3_band_cnn.pth,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_image_level/tuning/selected_resnet18_tile_configurations.csv,False
RGB 3-band CNN,"[650.0, 530.0, 450.0]",0.001,0.0001,0.2,0.05,84,1.0,1.0,1.0,1.0,1.0,1.0,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_external_corn/models/rgb_3_band_cnn.pth,/data/r1032016/Grain-Variety-Classification/spatial_results_resnet18_image_level/tuning/selected_resnet18_tile_configurations.csv,False
