external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,1.0,1.0
Jinxitian,2,1.0,1.0,1.0
Mihuatiannuo No.3,2,1.0,1.0,1.0
Mitiannuo No.1,2,1.0,1.0,1.0
Mitiannuo No.4,2,1.0,1.0,1.0
Sida No.204,2,1.0,1.0,1.0
Sidanuo No.38,2,1.0,1.0,1.0
Sidanuo No.44,2,1.0,1.0,1.0
Yuecainuo No.2,2,1.0,1.0,1.0
Zhenzhunuo No.8,2,1.0,1.0,1.0
Zhuyunuo No.1,2,1.0,1.0,1.0
Zhuyutian No.1,1,1.0,1.0,1.0
