experiment,candidate,head_learning_rate,weight_decay,dropout,label_smoothing,best_epoch,best_valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
VIP 1-band CNN,18,0.0003,0.01,0.4,0.05,98,0.1800141367647383,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,19,0.001,0.0001,0.2,0.05,98,0.17571471134821573,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,20,0.001,0.0001,0.4,0.05,93,0.17642761601342094,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,21,0.001,0.001,0.2,0.05,98,0.17571502096123165,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,22,0.001,0.001,0.4,0.05,93,0.17642786602179208,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,23,0.001,0.01,0.2,0.05,98,0.1757180674208535,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,24,0.001,0.01,0.4,0.05,93,0.17643060121271345,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,1,3e-05,0.0001,0.2,0.05,100,0.2917683985498216,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,2,3e-05,0.0001,0.4,0.05,100,0.29367437958717346,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,3,3e-05,0.001,0.2,0.05,100,0.29177849491437274,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,4,3e-05,0.001,0.4,0.05,100,0.2936849594116211,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,5,3e-05,0.01,0.2,0.05,100,0.29180580708715653,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,6,3e-05,0.01,0.4,0.05,100,0.2937132550610436,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,7,0.0001,0.0001,0.2,0.05,100,0.19339262776904637,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,8,0.0001,0.0001,0.4,0.05,100,0.1943150841527515,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,9,0.0001,0.001,0.2,0.05,100,0.19339458809958565,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,10,0.0001,0.001,0.4,0.05,100,0.1943168259329266,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,11,0.0001,0.01,0.2,0.05,100,0.1934096333053377,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,12,0.0001,0.01,0.4,0.05,100,0.19432983795801798,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,13,0.0003,0.0001,0.2,0.05,98,0.18016084366374546,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,14,0.0003,0.0001,0.4,0.05,98,0.18100042144457498,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,15,0.0003,0.001,0.2,0.05,98,0.18016081055005392,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,16,0.0003,0.001,0.4,0.05,98,0.18100007043944466,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,17,0.0003,0.01,0.2,0.05,98,0.1801605522632599,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,18,0.0003,0.01,0.4,0.05,98,0.18099592129389444,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,19,0.001,0.0001,0.2,0.05,80,0.17762532333532968,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,20,0.001,0.0001,0.4,0.05,68,0.1785387827290429,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,21,0.001,0.001,0.2,0.05,80,0.17762524717383915,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,22,0.001,0.001,0.4,0.05,68,0.1785385956366857,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,23,0.001,0.01,0.2,0.05,80,0.17762473060025108,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,24,0.001,0.01,0.4,0.05,68,0.1785367594824897,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,1,3e-05,0.0001,0.2,0.05,100,0.29113803969489205,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
VIP 3-band CNN,2,3e-05,0.0001,0.4,0.05,100,0.29313186473316616,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
VIP 3-band CNN,3,3e-05,0.001,0.2,0.05,100,0.2911480797661675,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
VIP 3-band CNN,4,3e-05,0.001,0.4,0.05,100,0.2931423518392775,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
VIP 3-band CNN,5,3e-05,0.01,0.2,0.05,100,0.29117537869347465,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
VIP 3-band CNN,6,3e-05,0.01,0.4,0.05,100,0.29317044218381244,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
VIP 3-band CNN,7,0.0001,0.0001,0.2,0.05,100,0.1916839215490553,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,8,0.0001,0.0001,0.4,0.05,100,0.19262629747390747,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,9,0.0001,0.001,0.2,0.05,100,0.19168586201137966,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,10,0.0001,0.001,0.4,0.05,100,0.19262802104155222,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,11,0.0001,0.01,0.2,0.05,100,0.19170083933406407,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,12,0.0001,0.01,0.4,0.05,100,0.1926409900188446,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,13,0.0003,0.0001,0.2,0.05,98,0.17903492020236123,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,14,0.0003,0.0001,0.4,0.05,98,0.17979386779997084,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,15,0.0003,0.001,0.2,0.05,98,0.17903475960095724,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,16,0.0003,0.001,0.4,0.05,98,0.17979340586397383,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,17,0.0003,0.01,0.2,0.05,98,0.17903300126393637,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,18,0.0003,0.01,0.4,0.05,98,0.17978789740138584,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,19,0.001,0.0001,0.2,0.05,83,0.17631168166796365,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,20,0.001,0.0001,0.4,0.05,68,0.17743974924087524,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,21,0.001,0.001,0.2,0.05,83,0.17631157239278158,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,22,0.001,0.001,0.4,0.05,68,0.1774394859870275,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,23,0.001,0.01,0.2,0.05,83,0.1763106965356403,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,24,0.001,0.01,0.4,0.05,68,0.17743693126572502,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,1,3e-05,0.0001,0.2,0.05,100,0.23724812269210815,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,2,3e-05,0.0001,0.4,0.05,100,0.23674918545616996,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,3,3e-05,0.001,0.2,0.05,100,0.2372550500763787,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,4,3e-05,0.001,0.4,0.05,100,0.23675651020473903,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,5,3e-05,0.01,0.2,0.05,100,0.23727410369449192,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,6,3e-05,0.01,0.4,0.05,100,0.23677661021550497,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,7,0.0001,0.0001,0.2,0.05,99,0.18388611906104618,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,8,0.0001,0.0001,0.4,0.05,99,0.1840821554263433,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,9,0.0001,0.001,0.2,0.05,99,0.18388699822955662,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,10,0.0001,0.001,0.4,0.05,99,0.18408267034424675,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,11,0.0001,0.01,0.2,0.05,99,0.18389390574561226,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,12,0.0001,0.01,0.4,0.05,99,0.18408663902017805,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,13,0.0003,0.0001,0.2,0.05,96,0.17798605726824868,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,14,0.0003,0.0001,0.4,0.05,94,0.17810692224237654,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,15,0.0003,0.001,0.2,0.05,96,0.17798609534899393,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,16,0.0003,0.001,0.4,0.05,94,0.17810687091615465,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,17,0.0003,0.01,0.2,0.05,96,0.17798669305112627,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,18,0.0003,0.01,0.4,0.05,94,0.17810622354348501,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,19,0.001,0.0001,0.2,0.05,84,0.1754285709725486,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,20,0.001,0.0001,0.4,0.05,78,0.17577947013907963,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,21,0.001,0.001,0.2,0.05,84,0.17542900641759238,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,22,0.001,0.001,0.4,0.05,78,0.17577993869781494,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,23,0.001,0.01,0.2,0.05,84,0.17543350325690377,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,24,0.001,0.01,0.4,0.05,78,0.17578480144341788,1.0,1.0,1.0,1.0,1.0,1.0
