external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,0.9546900391578674,0.9546900391578674
Jinxitian,2,1.0,0.8152222335338593,0.8152222335338593
Mihuatiannuo No.3,2,1.0,0.7747040390968323,0.7747040390968323
Mitiannuo No.1,2,1.0,0.9502139687538147,0.9502139687538147
Mitiannuo No.4,2,1.0,0.7006129324436188,0.7006129324436188
Sida No.204,2,1.0,0.9544557332992554,0.9544557332992554
Sidanuo No.38,2,1.0,0.9620383977890015,0.9620383977890015
Sidanuo No.44,2,1.0,0.9535799622535706,0.9535799622535706
Yuecainuo No.2,2,1.0,0.9397775530815125,0.9397775530815125
Zhenzhunuo No.8,2,1.0,0.9726562201976776,0.9726562201976776
Zhuyunuo No.1,2,1.0,0.9563438594341278,0.9563438594341278
Zhuyutian No.1,1,1.0,0.9475095272064209,0.9475095272064209
