experiment,sample_name,external_variety,height,width,bands,raw_selected_channel_means,raw_selected_channel_stds,tile_positions,tile_grid_rows,tile_grid_columns,tile_height,tile_width,centred_start_y,centred_start_x,unused_vertical_pixels,unused_horizontal_pixels
VIP 1-band CNN,Sida No.204__2,Sida No.204,552,480,300,[123.31912994384766],[236.59815979003906],"[{'row': 0, 'column': 0, 'y_start': 56, 'y_end': 276, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 56, 'y_end': 276, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 276, 'y_end': 496, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 276, 'y_end': 496, 'x_start': 240, 'x_end': 420}]",2,2,220,180,56,60,112,120
VIP 1-band CNN,Sidanuo No.38__1,Sidanuo No.38,535,480,300,[140.35952758789062],[244.70533752441406],"[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,95,120
VIP 1-band CNN,Sidanuo No.38__2,Sidanuo No.38,536,480,300,[139.7547607421875],[246.98214721679688],"[{'row': 0, 'column': 0, 'y_start': 48, 'y_end': 268, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 48, 'y_end': 268, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 268, 'y_end': 488, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 268, 'y_end': 488, 'x_start': 240, 'x_end': 420}]",2,2,220,180,48,60,96,120
VIP 1-band CNN,Sidanuo No.44__1,Sidanuo No.44,534,480,300,[123.9009017944336],[234.97694396972656],"[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,94,120
VIP 1-band CNN,Sidanuo No.44__2,Sidanuo No.44,531,480,300,[124.69184112548828],[238.70201110839844],"[{'row': 0, 'column': 0, 'y_start': 45, 'y_end': 265, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 45, 'y_end': 265, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 265, 'y_end': 485, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 265, 'y_end': 485, 'x_start': 240, 'x_end': 420}]",2,2,220,180,45,60,91,120
VIP 1-band CNN,Yuecainuo No.2__1,Yuecainuo No.2,536,480,300,[125.4677963256836],[231.2912139892578],"[{'row': 0, 'column': 0, 'y_start': 48, 'y_end': 268, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 48, 'y_end': 268, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 268, 'y_end': 488, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 268, 'y_end': 488, 'x_start': 240, 'x_end': 420}]",2,2,220,180,48,60,96,120
VIP 1-band CNN,Yuecainuo No.2__2,Yuecainuo No.2,533,480,300,[124.87993621826172],[232.82717895507812],"[{'row': 0, 'column': 0, 'y_start': 46, 'y_end': 266, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 46, 'y_end': 266, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 266, 'y_end': 486, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 266, 'y_end': 486, 'x_start': 240, 'x_end': 420}]",2,2,220,180,46,60,93,120
VIP 1-band CNN,Zhenzhunuo No.8__1,Zhenzhunuo No.8,533,480,300,[93.00328063964844],[205.4398193359375],"[{'row': 0, 'column': 0, 'y_start': 46, 'y_end': 266, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 46, 'y_end': 266, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 266, 'y_end': 486, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 266, 'y_end': 486, 'x_start': 240, 'x_end': 420}]",2,2,220,180,46,60,93,120
VIP 1-band CNN,Zhenzhunuo No.8__2,Zhenzhunuo No.8,546,480,300,[92.71392059326172],[201.2602996826172],"[{'row': 0, 'column': 0, 'y_start': 53, 'y_end': 273, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 53, 'y_end': 273, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 273, 'y_end': 493, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 273, 'y_end': 493, 'x_start': 240, 'x_end': 420}]",2,2,220,180,53,60,106,120
VIP 1-band CNN,Zhuyunuo No.1__1,Zhuyunuo No.1,542,480,300,[128.07809448242188],[232.80531311035156],"[{'row': 0, 'column': 0, 'y_start': 51, 'y_end': 271, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 51, 'y_end': 271, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 271, 'y_end': 491, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 271, 'y_end': 491, 'x_start': 240, 'x_end': 420}]",2,2,220,180,51,60,102,120
VIP 1-band CNN,Zhuyunuo No.1__2,Zhuyunuo No.1,545,480,300,[131.0824737548828],[242.305908203125],"[{'row': 0, 'column': 0, 'y_start': 52, 'y_end': 272, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 52, 'y_end': 272, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 272, 'y_end': 492, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 272, 'y_end': 492, 'x_start': 240, 'x_end': 420}]",2,2,220,180,52,60,105,120
VIP 1-band CNN,Zhuyutian No.1__1,Zhuyutian No.1,527,480,300,[129.0891571044922],[254.36029052734375],"[{'row': 0, 'column': 0, 'y_start': 43, 'y_end': 263, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 43, 'y_end': 263, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 263, 'y_end': 483, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 263, 'y_end': 483, 'x_start': 240, 'x_end': 420}]",2,2,220,180,43,60,87,120
