experiment,sample_name,external_variety,height,width,bands,raw_selected_channel_means,raw_selected_channel_stds,tile_positions,tile_grid_rows,tile_grid_columns,tile_height,tile_width,centred_start_y,centred_start_x,unused_vertical_pixels,unused_horizontal_pixels
VIP 3-band CNN,Caitiannuo No.6__1,Caitiannuo No.6,529,480,300,"[138.61111450195312, 383.1866760253906, 387.19561767578125]","[268.38018798828125, 725.4531860351562, 734.1510620117188]","[{'row': 0, 'column': 0, 'y_start': 44, 'y_end': 264, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 44, 'y_end': 264, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 264, 'y_end': 484, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 264, 'y_end': 484, 'x_start': 240, 'x_end': 420}]",2,2,220,180,44,60,89,120
VIP 3-band CNN,Caitiannuo No.6__2,Caitiannuo No.6,539,480,300,"[137.43148803710938, 382.8786315917969, 386.8641052246094]","[263.92474365234375, 720.6708984375, 729.9957275390625]","[{'row': 0, 'column': 0, 'y_start': 49, 'y_end': 269, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 49, 'y_end': 269, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 269, 'y_end': 489, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 269, 'y_end': 489, 'x_start': 240, 'x_end': 420}]",2,2,220,180,49,60,99,120
VIP 3-band CNN,Jinxitian__1,Jinxitian,526,480,300,"[115.89195251464844, 343.9466857910156, 344.0804138183594]","[231.75711059570312, 630.394775390625, 633.4532470703125]","[{'row': 0, 'column': 0, 'y_start': 43, 'y_end': 263, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 43, 'y_end': 263, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 263, 'y_end': 483, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 263, 'y_end': 483, 'x_start': 240, 'x_end': 420}]",2,2,220,180,43,60,86,120
VIP 3-band CNN,Jinxitian__2,Jinxitian,514,480,300,"[113.94039916992188, 343.2203369140625, 343.5831298828125]","[227.3453369140625, 628.8826904296875, 632.6492919921875]","[{'row': 0, 'column': 0, 'y_start': 37, 'y_end': 257, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 37, 'y_end': 257, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 257, 'y_end': 477, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 257, 'y_end': 477, 'x_start': 240, 'x_end': 420}]",2,2,220,180,37,60,74,120
VIP 3-band CNN,Mihuatiannuo No.3__1,Mihuatiannuo No.3,522,480,300,"[117.8523178100586, 306.0390930175781, 314.1113586425781]","[235.7802276611328, 593.9498291015625, 601.39794921875]","[{'row': 0, 'column': 0, 'y_start': 41, 'y_end': 261, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 41, 'y_end': 261, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 261, 'y_end': 481, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 261, 'y_end': 481, 'x_start': 240, 'x_end': 420}]",2,2,220,180,41,60,82,120
VIP 3-band CNN,Mihuatiannuo No.3__2,Mihuatiannuo No.3,516,480,300,"[120.79098510742188, 311.8663635253906, 319.1863708496094]","[247.42945861816406, 616.4673461914062, 622.0768432617188]","[{'row': 0, 'column': 0, 'y_start': 38, 'y_end': 258, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 38, 'y_end': 258, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 258, 'y_end': 478, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 258, 'y_end': 478, 'x_start': 240, 'x_end': 420}]",2,2,220,180,38,60,76,120
VIP 3-band CNN,Mitiannuo No.1__1,Mitiannuo No.1,539,480,300,"[116.02727508544922, 343.8099060058594, 342.1750793457031]","[210.79803466796875, 631.5099487304688, 633.3257446289062]","[{'row': 0, 'column': 0, 'y_start': 49, 'y_end': 269, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 49, 'y_end': 269, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 269, 'y_end': 489, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 269, 'y_end': 489, 'x_start': 240, 'x_end': 420}]",2,2,220,180,49,60,99,120
VIP 3-band CNN,Mitiannuo No.1__2,Mitiannuo No.1,542,480,300,"[121.19222259521484, 354.1141052246094, 352.3904113769531]","[228.189697265625, 659.9814453125, 661.2330322265625]","[{'row': 0, 'column': 0, 'y_start': 51, 'y_end': 271, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 51, 'y_end': 271, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 271, 'y_end': 491, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 271, 'y_end': 491, 'x_start': 240, 'x_end': 420}]",2,2,220,180,51,60,102,120
VIP 3-band CNN,Mitiannuo No.4__1,Mitiannuo No.4,554,480,300,"[114.48487091064453, 358.4595031738281, 357.4721374511719]","[221.57081604003906, 671.56689453125, 674.5489501953125]","[{'row': 0, 'column': 0, 'y_start': 57, 'y_end': 277, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 57, 'y_end': 277, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 277, 'y_end': 497, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 277, 'y_end': 497, 'x_start': 240, 'x_end': 420}]",2,2,220,180,57,60,114,120
VIP 3-band CNN,Mitiannuo No.4__2,Mitiannuo No.4,534,480,300,"[114.73654174804688, 359.63604736328125, 358.798583984375]","[224.67491149902344, 676.6837768554688, 679.5507202148438]","[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,94,120
