external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,0.9598402380943298,0.9598402380943298
Jinxitian,2,1.0,0.9531667530536652,0.9531667530536652
Mihuatiannuo No.3,2,1.0,0.9016112387180328,0.9016112387180328
Mitiannuo No.1,2,1.0,0.9541701376438141,0.9541701376438141
Mitiannuo No.4,2,1.0,0.9535157382488251,0.9535157382488251
Sida No.204,2,1.0,0.9562990367412567,0.9562990367412567
Sidanuo No.38,2,1.0,0.9600379168987274,0.9600379168987274
Sidanuo No.44,2,1.0,0.9563629627227783,0.9563629627227783
Yuecainuo No.2,2,1.0,0.9519138038158417,0.9519138038158417
Zhenzhunuo No.8,2,1.0,0.8535834848880768,0.8535834848880768
Zhuyunuo No.1,2,1.0,0.9555042684078217,0.9555042684078217
Zhuyutian No.1,1,1.0,0.9632516503334045,0.9632516503334045
