experiment,sample_name,external_variety,height,width,bands,raw_selected_channel_means,raw_selected_channel_stds,tile_positions,tile_grid_rows,tile_grid_columns,tile_height,tile_width,centred_start_y,centred_start_x,unused_vertical_pixels,unused_horizontal_pixels
RGB 3-band CNN,Sida No.204__1,Sida No.204,560,480,300,"[379.77630615234375, 220.16551208496094, 30.9984073638916]","[682.3258666992188, 392.31201171875, 71.5842514038086]","[{'row': 0, 'column': 0, 'y_start': 60, 'y_end': 280, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 60, 'y_end': 280, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 280, 'y_end': 500, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 280, 'y_end': 500, 'x_start': 240, 'x_end': 420}]",2,2,220,180,60,60,120,120
RGB 3-band CNN,Sida No.204__2,Sida No.204,552,480,300,"[378.719482421875, 219.17007446289062, 30.670312881469727]","[686.4627685546875, 391.93011474609375, 70.9308853149414]","[{'row': 0, 'column': 0, 'y_start': 56, 'y_end': 276, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 56, 'y_end': 276, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 276, 'y_end': 496, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 276, 'y_end': 496, 'x_start': 240, 'x_end': 420}]",2,2,220,180,56,60,112,120
RGB 3-band CNN,Sidanuo No.38__1,Sidanuo No.38,535,480,300,"[394.5446472167969, 239.49749755859375, 33.26082229614258]","[703.113525390625, 409.8894958496094, 66.79814147949219]","[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,95,120
RGB 3-band CNN,Sidanuo No.38__2,Sidanuo No.38,536,480,300,"[391.6147155761719, 237.88099670410156, 33.46607971191406]","[703.0247802734375, 411.07867431640625, 68.39945983886719]","[{'row': 0, 'column': 0, 'y_start': 48, 'y_end': 268, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 48, 'y_end': 268, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 268, 'y_end': 488, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 268, 'y_end': 488, 'x_start': 240, 'x_end': 420}]",2,2,220,180,48,60,96,120
RGB 3-band CNN,Sidanuo No.44__1,Sidanuo No.44,534,480,300,"[402.1842956542969, 207.33612060546875, 31.659574508666992]","[731.114501953125, 375.5814514160156, 70.75422668457031]","[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,94,120
RGB 3-band CNN,Sidanuo No.44__2,Sidanuo No.44,531,480,300,"[402.5042419433594, 208.74472045898438, 31.796598434448242]","[738.067138671875, 381.83599853515625, 71.79007720947266]","[{'row': 0, 'column': 0, 'y_start': 45, 'y_end': 265, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 45, 'y_end': 265, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 265, 'y_end': 485, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 265, 'y_end': 485, 'x_start': 240, 'x_end': 420}]",2,2,220,180,45,60,91,120
RGB 3-band CNN,Yuecainuo No.2__1,Yuecainuo No.2,536,480,300,"[337.5804138183594, 206.4219207763672, 31.488969802856445]","[614.4625244140625, 369.6108093261719, 67.71290588378906]","[{'row': 0, 'column': 0, 'y_start': 48, 'y_end': 268, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 48, 'y_end': 268, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 268, 'y_end': 488, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 268, 'y_end': 488, 'x_start': 240, 'x_end': 420}]",2,2,220,180,48,60,96,120
RGB 3-band CNN,Yuecainuo No.2__2,Yuecainuo No.2,533,480,300,"[335.4647216796875, 205.5677947998047, 31.636808395385742]","[616.1084594726562, 371.3804931640625, 68.5285415649414]","[{'row': 0, 'column': 0, 'y_start': 46, 'y_end': 266, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 46, 'y_end': 266, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 266, 'y_end': 486, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 266, 'y_end': 486, 'x_start': 240, 'x_end': 420}]",2,2,220,180,46,60,93,120
RGB 3-band CNN,Zhenzhunuo No.8__1,Zhenzhunuo No.8,533,480,300,"[249.39599609375, 149.63348388671875, 25.065248489379883]","[485.7748107910156, 315.8983154296875, 64.74761199951172]","[{'row': 0, 'column': 0, 'y_start': 46, 'y_end': 266, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 46, 'y_end': 266, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 266, 'y_end': 486, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 266, 'y_end': 486, 'x_start': 240, 'x_end': 420}]",2,2,220,180,46,60,93,120
RGB 3-band CNN,Zhenzhunuo No.8__2,Zhenzhunuo No.8,546,480,300,"[249.20269775390625, 149.59100341796875, 24.75320053100586]","[479.8480529785156, 310.70806884765625, 63.09825897216797]","[{'row': 0, 'column': 0, 'y_start': 53, 'y_end': 273, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 53, 'y_end': 273, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 273, 'y_end': 493, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 273, 'y_end': 493, 'x_start': 240, 'x_end': 420}]",2,2,220,180,53,60,106,120
RGB 3-band CNN,Zhuyunuo No.1__1,Zhuyunuo No.1,542,480,300,"[350.9954833984375, 214.9697723388672, 31.1010684967041]","[642.450927734375, 379.8337707519531, 65.82881164550781]","[{'row': 0, 'column': 0, 'y_start': 51, 'y_end': 271, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 51, 'y_end': 271, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 271, 'y_end': 491, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 271, 'y_end': 491, 'x_start': 240, 'x_end': 420}]",2,2,220,180,51,60,102,120
RGB 3-band CNN,Zhuyunuo No.1__2,Zhuyunuo No.1,545,480,300,"[357.0888366699219, 219.35345458984375, 32.134647369384766]","[659.6172485351562, 392.5502624511719, 69.55237579345703]","[{'row': 0, 'column': 0, 'y_start': 52, 'y_end': 272, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 52, 'y_end': 272, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 272, 'y_end': 492, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 272, 'y_end': 492, 'x_start': 240, 'x_end': 420}]",2,2,220,180,52,60,105,120
RGB 3-band CNN,Zhuyutian No.1__1,Zhuyutian No.1,527,480,300,"[410.5023498535156, 225.35922241210938, 32.717864990234375]","[721.1868286132812, 409.2711486816406, 77.36543273925781]","[{'row': 0, 'column': 0, 'y_start': 43, 'y_end': 263, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 43, 'y_end': 263, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 263, 'y_end': 483, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 263, 'y_end': 483, 'x_start': 240, 'x_end': 420}]",2,2,220,180,43,60,87,120
