epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,1.4982114588772808,1.2891723623982183,0.3333333333333333,0.3333333333333333,1.2871763838662043,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
2,1.24917894160306,0.9654201511983518,0.5601851851851852,0.5555555555555556,0.9634885059462653,0.5625,0.5625,0.4596038881753168,0.5555555555555556,0.5555555555555555,0.4444444444444444
3,0.9295560507862656,0.6437117369086655,0.6666666666666666,0.6666666666666666,0.642310619354248,0.6666666666666666,0.6666666666666666,0.5485714285714286,0.6666666666666666,0.6666666666666666,0.5555555555555555
4,0.6458282095414621,0.5882432206913277,0.6597222222222222,0.6666666666666666,0.5733246207237244,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555
5,0.6145179161319027,0.550809998203207,0.8888888888888888,0.8888888888888888,0.5360827545324961,0.9027777777777778,0.9027777777777777,0.9012345679012346,0.8888888888888888,0.8888888888888888,0.8857142857142857
6,0.5468366808361478,0.3973356678530022,0.9814814814814815,1.0,0.3799637324280209,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
7,0.5519032511446211,0.2708854719444557,0.9814814814814815,1.0,0.25493957433435654,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
8,0.3198169911349261,0.4348656938031868,0.8935185185185185,0.8888888888888888,0.39527305795086753,0.9097222222222222,0.9097222222222222,0.9084460838965126,0.8888888888888888,0.8888888888888888,0.8857142857142857
9,0.30409500665134853,0.22304911414782205,0.9814814814814815,1.0,0.21751690242025587,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
10,0.21829709300288447,0.19648549457391104,0.9953703703703703,1.0,0.19540924496120876,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
11,0.21084576293274207,0.19197497213328327,0.9953703703703703,1.0,0.1907565626833174,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
12,0.2417142429837474,0.19073947932985094,0.9953703703703703,1.0,0.19297944340440962,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
13,0.21319377919038138,0.19223593948064027,0.9953703703703703,1.0,0.18500809205902946,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
14,0.2000987204136672,0.18370823506955747,0.9953703703703703,1.0,0.18947282433509827,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
15,0.1924338804350959,0.17878329146791389,1.0,1.0,0.1833584788772795,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
16,0.18943397590407618,0.17510247396098244,1.0,1.0,0.17843041817347208,1.0,1.0,1.0,1.0,1.0,1.0
17,0.18687145798294633,0.17598558576018722,1.0,1.0,0.17939566241370308,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
18,0.22723969927540533,0.17943462122369697,1.0,1.0,0.1831752128071255,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
19,0.21912756231096056,0.1916117469469706,0.9953703703703703,1.0,0.19265431000126731,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
20,0.2144087150141045,0.19651508772814716,0.9953703703703703,1.0,0.18617851866616142,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
21,0.19924825429916382,0.18728175980073433,0.9953703703703703,1.0,0.18716464440027872,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
22,0.19371023111873203,0.18254257793779727,0.9953703703703703,1.0,0.18488490415943992,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
23,0.18541152168203284,0.1813203631727784,0.9953703703703703,1.0,0.18007731272114647,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
24,0.18766879980210904,0.17498810920450422,1.0,1.0,0.17788980735672844,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
25,0.18174498666215827,0.1732557432519065,1.0,1.0,0.17387180858188206,1.0,1.0,1.0,1.0,1.0,1.0
26,0.17998917676784373,0.17215233268561186,1.0,1.0,0.17203559478123984,1.0,1.0,1.0,1.0,1.0,1.0
27,0.17964796666745786,0.17192984179214196,1.0,1.0,0.17171788215637207,1.0,1.0,1.0,1.0,1.0,1.0
28,0.17978977825906542,0.17114131759714196,1.0,1.0,0.1710507505469852,1.0,1.0,1.0,1.0,1.0,1.0
29,0.17806448097582217,0.17076346885274957,1.0,1.0,0.17066248754660288,1.0,1.0,1.0,1.0,1.0,1.0
30,0.17730487717522514,0.1706152872906791,1.0,1.0,0.17060756352212694,1.0,1.0,1.0,1.0,1.0,1.0
31,0.1769068318384665,0.17058974945986713,1.0,1.0,0.17049448688824972,1.0,1.0,1.0,1.0,1.0,1.0
32,0.1768830821469978,0.1702412604181855,1.0,1.0,0.17020762960116068,1.0,1.0,1.0,1.0,1.0,1.0
33,0.17643405386695155,0.1701708921679744,1.0,1.0,0.17022026081879935,1.0,1.0,1.0,1.0,1.0,1.0
34,0.17706378963258532,0.1703534413267065,1.0,1.0,0.17031936678621504,1.0,1.0,1.0,1.0,1.0,1.0
35,0.17622391493232162,0.17012589507632786,1.0,1.0,0.1701360990603765,1.0,1.0,1.0,1.0,1.0,1.0
36,0.1766924057845716,0.1701665746944922,1.0,1.0,0.1701589739984936,1.0,1.0,1.0,1.0,1.0,1.0
37,0.17638132362454026,0.17043200797504848,1.0,1.0,0.1704741269350052,1.0,1.0,1.0,1.0,1.0,1.0
38,0.1751309655330799,0.1697254478931427,1.0,1.0,0.16976334154605865,1.0,1.0,1.0,1.0,1.0,1.0
39,0.17533984945880043,0.1697932349310981,1.0,1.0,0.16985265082783169,1.0,1.0,1.0,1.0,1.0,1.0
40,0.1756123944565102,0.1698716332515081,1.0,1.0,0.1699095070362091,1.0,1.0,1.0,1.0,1.0,1.0
41,0.17568955708433082,0.16995997892485726,1.0,1.0,0.17002910375595093,1.0,1.0,1.0,1.0,1.0,1.0
42,0.17569745745923784,0.1699168974602664,1.0,1.0,0.16998280750380623,1.0,1.0,1.0,1.0,1.0,1.0
43,0.17551404458505135,0.16975632365103122,1.0,1.0,0.16983809073766074,1.0,1.0,1.0,1.0,1.0,1.0
44,0.17527928672454976,0.16989395795045076,1.0,1.0,0.16990334457821316,1.0,1.0,1.0,1.0,1.0,1.0
45,0.17576694874851792,0.169798594933969,1.0,1.0,0.1698713799317678,1.0,1.0,1.0,1.0,1.0,1.0
46,0.17527184387048086,0.16973867184585995,1.0,1.0,0.16984471678733826,1.0,1.0,1.0,1.0,1.0,1.0
47,0.1745557630503619,0.16960794395870632,1.0,1.0,0.1696414914396074,1.0,1.0,1.0,1.0,1.0,1.0
48,0.1754402181616536,0.17010224858919779,1.0,1.0,0.17007743153307173,1.0,1.0,1.0,1.0,1.0,1.0
49,0.17542766365740034,0.1696834166844686,1.0,1.0,0.16977040469646454,1.0,1.0,1.0,1.0,1.0,1.0
50,0.17567301569161592,0.17020696511975042,1.0,1.0,0.17020388113127816,1.0,1.0,1.0,1.0,1.0,1.0
51,0.1756379814059646,0.16972955950984248,1.0,1.0,0.16983471148543888,1.0,1.0,1.0,1.0,1.0,1.0
52,0.17528771857420603,0.16947980611412614,1.0,1.0,0.1695515447192722,1.0,1.0,1.0,1.0,1.0,1.0
53,0.17525554641529364,0.1697411768966251,1.0,1.0,0.16981296572420332,1.0,1.0,1.0,1.0,1.0,1.0
54,0.1754689613978068,0.16953933846067498,1.0,1.0,0.1695809695455763,1.0,1.0,1.0,1.0,1.0,1.0
55,0.1754155142439736,0.16955330416008277,1.0,1.0,0.1696225023931927,1.0,1.0,1.0,1.0,1.0,1.0
56,0.1750350605558466,0.16955013517980222,1.0,1.0,0.16962352560626137,1.0,1.0,1.0,1.0,1.0,1.0
57,0.1745713264853866,0.16941727311522872,1.0,1.0,0.16948754588762918,1.0,1.0,1.0,1.0,1.0,1.0
58,0.17631462216377258,0.16998289635887853,1.0,1.0,0.17003293169869316,1.0,1.0,1.0,1.0,1.0,1.0
59,0.17603927078070464,0.16982244782977635,1.0,1.0,0.16987327734629312,1.0,1.0,1.0,1.0,1.0,1.0
60,0.17526803689974327,0.169462979943664,1.0,1.0,0.1695184823539522,1.0,1.0,1.0,1.0,1.0,1.0
61,0.17593989824807202,0.16985338705557365,1.0,1.0,0.16987395286560059,1.0,1.0,1.0,1.0,1.0,1.0
62,0.17512119809786478,0.16941562626096937,1.0,1.0,0.16946394575966728,1.0,1.0,1.0,1.0,1.0,1.0
63,0.17598507746502204,0.16973131950254794,1.0,1.0,0.16974346505271065,1.0,1.0,1.0,1.0,1.0,1.0
64,0.17514091509359855,0.16977254494472785,1.0,1.0,0.16980092724164328,1.0,1.0,1.0,1.0,1.0,1.0
65,0.1748614416078285,0.16988588483245284,1.0,1.0,0.17000337772899204,1.0,1.0,1.0,1.0,1.0,1.0
66,0.1757266068900073,0.17027940573515715,1.0,1.0,0.17025570736991036,1.0,1.0,1.0,1.0,1.0,1.0
67,0.17485978095619767,0.16967456760229888,1.0,1.0,0.16975640257199606,1.0,1.0,1.0,1.0,1.0,1.0
