epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,1.510707554993806,1.0531047626777932,0.3333333333333333,0.3333333333333333,1.1321930951542325,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
2,1.1393042515825342,0.9763981324655039,0.5115740740740741,0.4444444444444444,1.0787254836824205,0.2847222222222222,0.2847222222222222,0.23553769333820485,0.3333333333333333,0.3333333333333333,0.2738095238095238
3,1.1434726957921628,0.9491620615676597,0.5717592592592593,0.5555555555555556,1.0979516903559368,0.2986111111111111,0.2986111111111111,0.2062350119904077,0.3333333333333333,0.3333333333333333,0.2222222222222222
4,1.049649715423584,0.9193267204143383,0.5787037037037037,0.5555555555555556,1.2795438634024725,0.2916666666666667,0.2916666666666667,0.20437956204379562,0.3333333333333333,0.3333333333333333,0.2222222222222222
5,0.9299205629913895,0.9072950029814685,0.5740740740740741,0.5555555555555556,1.3582665787802801,0.2708333333333333,0.2708333333333333,0.19402985074626866,0.3333333333333333,0.3333333333333333,0.2222222222222222
6,0.9358535210291544,0.8696545185866179,0.5879629629629629,0.5555555555555556,1.1431052287419636,0.2916666666666667,0.2916666666666667,0.22012973425402804,0.2222222222222222,0.2222222222222222,0.16666666666666666
7,0.9014254985032258,0.8467370039886899,0.5856481481481481,0.5555555555555556,1.2606650723351374,0.2777777777777778,0.2777777777777778,0.19753086419753085,0.3333333333333333,0.3333333333333333,0.2222222222222222
8,0.8658988873163859,0.7927957099896891,0.6203703703703703,0.6666666666666666,1.1686305867301092,0.24305555555555555,0.24305555555555555,0.1794871794871795,0.2222222222222222,0.2222222222222222,0.16666666666666666
9,0.8744210799535116,0.7746850671591582,0.6180555555555556,0.6666666666666666,1.1964291996426053,0.14583333333333334,0.14583333333333334,0.12389380530973453,0.1111111111111111,0.1111111111111111,0.09523809523809523
10,0.9560221389487937,0.8244272084147842,0.6203703703703703,0.6666666666666666,1.4807598061031766,0.24305555555555555,0.24305555555555555,0.1794871794871795,0.2222222222222222,0.2222222222222222,0.16666666666666666
11,0.8447071004796911,0.783067074086931,0.6203703703703703,0.6666666666666666,1.087901579009162,0.2222222222222222,0.22222222222222224,0.2017969451931716,0.1111111111111111,0.1111111111111111,0.09523809523809523
12,0.8537827045829208,0.7695344940379814,0.5949074074074074,0.6296296296296297,1.327053427696228,0.1527777777777778,0.15277777777777776,0.13792363792363793,0.1111111111111111,0.1111111111111111,0.09523809523809523
