epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,1.1599928979520444,0.8301244532620465,0.4722222222222222,0.4444444444444444,0.8191291756100125,0.5486111111111112,0.548611111111111,0.5296684623133184,0.4444444444444444,0.4444444444444444,0.3703703703703704
2,0.742101976165065,0.659045175269798,0.7569444444444444,0.7037037037037037,0.6548273695839776,0.7847222222222222,0.7847222222222222,0.7768307535749397,0.7777777777777778,0.7777777777777777,0.7746031746031746
3,0.6605713875205429,0.5118025370218136,0.7893518518518519,0.7777777777777778,0.4938393268320296,0.7847222222222222,0.7847222222222223,0.7652630385979634,0.7777777777777778,0.7777777777777777,0.75
4,0.49681704739729565,0.4702928253897914,0.8773148148148148,0.8888888888888888,0.4547649059030745,0.8819444444444444,0.8819444444444443,0.8804895773570472,0.8888888888888888,0.8888888888888888,0.8857142857142857
5,0.46198776916221335,0.3903791981714743,0.9097222222222222,0.8888888888888888,0.3669295228189892,0.9166666666666666,0.9166666666666666,0.9153439153439153,0.8888888888888888,0.8888888888888888,0.8857142857142857
6,0.3804759018950992,0.3309282379017936,0.9490740740740741,1.0,0.3072070992655224,0.9513888888888888,0.9513888888888888,0.9512211491402902,1.0,1.0,1.0
7,0.3560372855928209,0.2616189320882161,0.9837962962962963,1.0,0.2426044444243113,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
8,0.36497729023297626,0.689098674941946,0.7384259259259259,0.7037037037037037,0.6828827841414346,0.7430555555555556,0.7430555555555557,0.6982286224034663,0.6666666666666666,0.6666666666666666,0.5555555555555555
9,0.4275947273881347,0.28048380657478617,0.9606481481481481,1.0,0.2517101499769423,0.9791666666666666,0.9791666666666666,0.9791644058600109,1.0,1.0,1.0
10,0.28639843342480836,0.23540011103506442,0.9884259259259259,1.0,0.2097984254360199,1.0,1.0,1.0,1.0,1.0,1.0
11,0.27033862802717423,0.23109034255698876,0.9745370370370371,1.0,0.2039167301522361,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
12,0.23193433384100595,0.26503672423186125,0.9444444444444444,1.0,0.24742821686797672,0.9583333333333334,0.9583333333333334,0.9581699346405229,1.0,1.0,1.0
13,0.31263204250070786,0.6043836485456537,0.7916666666666666,0.7777777777777778,0.6126966228087743,0.7777777777777778,0.7777777777777777,0.7471655328798187,0.6666666666666666,0.6666666666666666,0.5555555555555555
14,0.6105512711736891,0.307083856176447,0.9259259259259259,1.0,0.28711870312690735,0.9375,0.9375,0.9369458128078817,1.0,1.0,1.0
15,0.4846845578264307,0.30108217729462516,0.9398148148148148,0.9629629629629629,0.27678002251519096,0.9513888888888888,0.9513888888888888,0.9511290498527326,1.0,1.0,1.0
