method,bands_nm,n_bands,learning_rate,weight_decay,dropout,label_smoothing,best_epoch,validation_tile_accuracy,validation_image_accuracy,validation_image_balanced_accuracy,validation_image_macro_f1,test_tile_accuracy,test_tile_balanced_accuracy,test_tile_macro_f1,test_correct_images,test_total_images,test_image_accuracy,test_image_balanced_accuracy,test_image_macro_f1,test_accuracy_ci_low,test_accuracy_ci_high,input_mode,loss_level,aggregation,tie_break
PCA 1-band CNN,[491.9],1,0.0003,0.0001,0.2,0.05,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0,complete_standardised_tiles,tile,majority_vote,mean_class_probability
VIP 1-band CNN,[497.2],1,0.0003,0.0001,0.2,0.05,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0,complete_standardised_tiles,tile,majority_vote,mean_class_probability
PCA 3-band CNN,"[491.9, 611.9, 641.6]",3,0.0003,0.001,0.4,0.05,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0,complete_standardised_tiles,tile,majority_vote,mean_class_probability
VIP 3-band CNN,"[497.2, 609.2, 641.6]",3,0.001,0.01,0.4,0.05,57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0,complete_standardised_tiles,tile,majority_vote,mean_class_probability
RGB 3-band CNN,"[650.0, 530.0, 450.0]",3,0.001,0.001,0.4,0.05,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0,complete_standardised_tiles,tile,majority_vote,mean_class_probability
