method,bands_nm,n_bands,architecture,input_mode,loss_level,aggregation,tie_break,fine_tuning,tile_layout,tiles_per_image,head_learning_rate,weight_decay,dropout,label_smoothing,best_epoch,validation_tile_accuracy,validation_image_accuracy,validation_image_balanced_accuracy,validation_image_macro_f1,test_tile_accuracy,test_tile_balanced_accuracy,test_tile_macro_f1,test_correct_images,test_total_images,test_image_accuracy,test_image_balanced_accuracy,test_image_macro_f1,test_accuracy_ci_low,test_accuracy_ci_high
PCA 1-band CNN,[491.9],1,ImageNet pretrained ResNet18,complete standardised tiles,tile,majority vote,mean class probability,frozen ImageNet backbone with classifier head training,4x4,16,0.001,0.0001,0.2,0.05,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0
VIP 1-band CNN,[497.2],1,ImageNet pretrained ResNet18,complete standardised tiles,tile,majority vote,mean class probability,frozen ImageNet backbone with classifier head training,4x4,16,0.001,0.0001,0.2,0.05,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0
PCA 3-band CNN,"[491.9, 611.9, 641.6]",3,ImageNet pretrained ResNet18,complete standardised tiles,tile,majority vote,mean class probability,frozen ImageNet backbone with classifier head training,4x4,16,0.001,0.01,0.2,0.05,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0
VIP 3-band CNN,"[497.2, 609.2, 641.6]",3,ImageNet pretrained ResNet18,complete standardised tiles,tile,majority vote,mean class probability,frozen ImageNet backbone with classifier head training,4x4,16,0.001,0.01,0.2,0.05,83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0
RGB 3-band CNN,"[650.0, 530.0, 450.0]",3,ImageNet pretrained ResNet18,complete standardised tiles,tile,majority vote,mean class probability,frozen ImageNet backbone with classifier head training,4x4,16,0.001,0.0001,0.2,0.05,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,1.0,1.0,1.0,0.7008472464490407,1.0
